outer_csv_selector.started,outer_csv_selector.stopped,participant,session,stimPresTime,taskOrder,listNum,date,expName,psychopyVersion,OS,frameRate,listPath,concPathTrain,fixDuration,concPathMain,start_screen.started,start_screen.stopped,click_start_mouse.x,click_start_mouse.y,click_start_mouse.leftButton,click_start_mouse.midButton,click_start_mouse.rightButton,click_start_mouse.time,click_start_mouse.clicked_name,start_screen_goon_keyresp.keys,welcome_screen.started,welcome_screen.stopped,click_welcome_mouse.x,click_welcome_mouse.y,click_welcome_mouse.leftButton,click_welcome_mouse.midButton,click_welcome_mouse.rightButton,click_welcome_mouse.time,click_welcome_mouse.clicked_name,welcome_screen_goon_keyresp.keys,library_check.started,library_check.stopped,click_libfirst1_mouse.x,click_libfirst1_mouse.y,click_libfirst1_mouse.leftButton,click_libfirst1_mouse.midButton,click_libfirst1_mouse.rightButton,click_libfirst1_mouse.time,click_libfirst1_mouse.clicked_name,library_check_goon_keyresp.keys,library_entry.started,library_entry.stopped,click_libfirst2_mouse.x,click_libfirst2_mouse.y,click_libfirst2_mouse.leftButton,click_libfirst2_mouse.midButton,click_libfirst2_mouse.rightButton,click_libfirst2_mouse.time,click_libfirst2_mouse.clicked_name,library_entry_goon_keyresp.keys,library_seen.started,library_seen.stopped,click_libsecond_mouse.x,click_libsecond_mouse.y,click_libsecond_mouse.leftButton,click_libsecond_mouse.midButton,click_libsecond_mouse.rightButton,click_libsecond_mouse.time,click_libsecond_mouse.clicked_name,library_seen_goon_keyresp.keys,rules_start_screen.started,rules_start_screen.stopped,click_rulesstart_mouse.x,click_rulesstart_mouse.y,click_rulesstart_mouse.leftButton,click_rulesstart_mouse.midButton,click_rulesstart_mouse.rightButton,click_rulesstart_mouse.time,click_rulesstart_mouse.clicked_name,rules_start_screen_goon_keyresp.keys,rules_01_screen.started,rules_01_screen.stopped,click_rules01_mouse.x,click_rules01_mouse.y,click_rules01_mouse.leftButton,click_rules01_mouse.midButton,click_rules01_mouse.rightButton,click_rules01_mouse.time,click_rules01_mouse.clicked_name,rules_01_screen_goon_keyresp.keys,rules_02_screen.started,rules_02_screen.stopped,click_rules02_mouse.x,click_rules02_mouse.y,click_rules02_mouse.leftButton,click_rules02_mouse.midButton,click_rules02_mouse.rightButton,click_rules02_mouse.time,click_rules02_mouse.clicked_name,rules_02_screen_goon_keyresp.keys,trial_start_screen.started,trial_start_screen.stopped,click_trialstart_mouse.x,click_trialstart_mouse.y,click_trialstart_mouse.leftButton,click_trialstart_mouse.midButton,click_trialstart_mouse.rightButton,click_trialstart_mouse.time,click_trialstart_mouse.clicked_name,trial_start_screen_goon_keyresp.keys,csv_selector.started,csv_selector.stopped,train_fixation.started,train_fixation.stopped,train_mask.started,train_mask.stopped,train_stimulus_presentation.started,train_stimulus_presentation.stopped,stop_training.keys,stop_training.rt,stop_training.duration,train_yesno_response.started,train_yesno_response.stopped,trial_yesno_response.keys,click_yesno_mouse.x,click_yesno_mouse.y,click_yesno_mouse.leftButton,click_yesno_mouse.midButton,click_yesno_mouse.rightButton,click_yesno_mouse.time,click_yesno_mouse.clicked_name,train_written_response.started,train_written_response.stopped,typed_text,textbox_response_training.text,click_written_mouse.x,click_written_mouse.y,click_written_mouse.leftButton,click_written_mouse.midButton,click_written_mouse.rightButton,click_written_mouse.time,click_written_mouse.clicked_name,clear_enter_train.started,clear_enter_train.stopped,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,training_loop.ran,trialno,feature_name,feature_file,trial_yesno_response.rt,trial_yesno_response.duration,train_feedback.started,train_feedback.stopped,click_feedback_mouse.x,click_feedback_mouse.y,click_feedback_mouse.leftButton,click_feedback_mouse.midButton,click_feedback_mouse.rightButton,click_feedback_mouse.time,click_feedback_mouse.clicked_name,train_feedback_goon_keyresp.keys,main_start_screen.started,main_start_screen.stopped,click_mainstart_mouse.x,click_mainstart_mouse.y,click_mainstart_mouse.leftButton,click_mainstart_mouse.midButton,click_mainstart_mouse.rightButton,click_mainstart_mouse.time,click_mainstart_mouse.clicked_name,main_start_screen_goon_keyresp.keys,csv_selector_main.started,csv_selector_main.stopped,main_fixation.started,main_fixation.stopped,main_mask.started,main_mask.stopped,main_stimulus_presentation.started,main_stimulus_presentation.stopped,stop_main_loop.keys,stop_main_loop.rt,stop_main_loop.duration,main_yesno_response.started,main_yesno_response.stopped,main_yesno_key_response.keys,main_yesno_key_response.rt,main_yesno_key_response.duration,main_yesno_mouse.x,main_yesno_mouse.y,main_yesno_mouse.leftButton,main_yesno_mouse.midButton,main_yesno_mouse.rightButton,main_yesno_mouse.time,main_yesno_mouse.clicked_name,main_written_response.started,main_written_response.stopped,textbox_response_main.text,main_written_mouse.x,main_written_mouse.y,main_written_mouse.leftButton,main_written_mouse.midButton,main_written_mouse.rightButton,main_written_mouse.time,main_written_mouse.clicked_name,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,main_loop.ran,main_feedback.started,main_feedback.stopped,main_feedback_mouse.x,main_feedback_mouse.y,main_feedback_mouse.leftButton,main_feedback_mouse.midButton,main_feedback_mouse.rightButton,main_feedback_mouse.time,main_feedback_mouse.clicked_name,main_feedback_goon_keyresp.keys,end.started,end.stopped,end_goon_keyresp.keys,binoc_find.started,binoc_find.stopped,click_binocfind_mouse.x,click_binocfind_mouse.y,click_binocfind_mouse.leftButton,click_binocfind_mouse.midButton,click_binocfind_mouse.rightButton,click_binocfind_mouse.time,click_binocfind_mouse.clicked_name,binoc_find_goon_keyresp.keys
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,0.847541633,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2574,82.2575,82.2585,83.1171,83.1173,84.1182,84.1186,86.1213,[],,,86.1218,92.5979,,[0.25],[-0.12314817640516493],[1],[0],[0],[6.4754999999999825],"[""btn_yesno_yes_img""]",92.5983,92.6185,,,[],[],[],[],[],[],[],92.6187,92.6187,0,0,0,0,1,1,FAJTA_GYÜMÖLCS,stimuli/f00142.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,1.148170697,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6189,93.7828,93.7829,94.7843,94.7846,96.7873,[],,,96.7878,108.9728,,[0.19537035624186197],[-0.10277776364926938],[1],[0],[0],[12.18459999999962],"[""btn_yesno_yes_img""]",108.9731,113.2798,.,.,[-0.08425924513075086],[-0.28148149560998986],[1],[0],[0],[4.304899999999435],"[""btn_written_img""]",113.2799,113.28,0,1,1,1,1,2,ILYEN_KÖRALAKÚ,stimuli/f01320.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,0.876535827,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2802,114.164,114.1641,115.1654,115.1657,117.1688,[],,,117.1692,120.1731,,[0.19907407407407407],[-0.12777780603479455],[1],[0],[0],[3.00369999999927],"[""btn_yesno_yes_img""]",120.1734,124.8308,Alma,Alma,[],[],[],[],[],[],[],124.8308,124.8308,0,2,2,2,1,3,ILYEN_PIROS,stimuli/f00862.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,0.823217302,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.831,125.6649,125.6649,126.6664,126.6667,128.6694,[],,,128.6697,138.5011,,[-0.2574073650218822],[-0.12685189423737703],[1],[0],[0],[9.831200000000194],"[""btn_yesno_no_img""]",138.5014,138.5022,,,[],[],[],[],[],[],[],138.5023,138.5023,0,3,3,3,1,4,HOL_FA,stimuli/f01714.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,0.89696416,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5024,139.4024,139.4025,140.404,140.4042,142.4073,[],,,142.4077,145.9881,left,[],[],[],[],[],[],[],145.9883,145.9892,,,[],[],[],[],[],[],[],145.9892,145.9892,0,4,4,4,1,5,LEHET_ESZIK,stimuli/f00417.png,3.5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/f12/f12_listA.csv,0.831098626,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9894,146.8305,146.8305,147.832,147.8324,149.8352,[],,,149.8357,153.2239,left,[],[],[],[],[],[],[],153.2241,153.2249,,,[],[],[],[],[],[],[],153.225,153.225,0,5,5,5,1,6,ILYEN_EGÉSZSÉGES,stimuli/f01008.png,3.3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/a19/a19_listB.csv,1.104791691,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.8394,184.8394,184.8402,185.957,185.957,186.9587,186.959,188.9616,[],,,188.962,193.0512,right,[],[],[],[],[],[],[],193.0515,193.0525,,,[],[],[],[],[],[],[],193.0526,193.0526,0,0,0,0,1,1,FAJTA_ÁLLAT,stimuli/f00660.png,4.0618,,153.2257,184.8391,[-0.07222217983669704],[-0.2638888888888889],[1],[0],[0],[31.612900000000394],"[""btn_feedback_img""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/a19/a19_listB.csv,0.851967798,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0528,193.9193,193.9193,194.9207,194.921,196.924,[],,,196.9244,204.7024,left,[],[],[],[],[],[],[],204.7026,204.7036,,,[],[],[],[],[],[],[],204.7037,204.7037,0,1,1,1,1,2,NÉGY_LÁB,stimuli/f00188.png,7.7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/a19/a19_listB.csv,0.963756466,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7038,205.6706,205.6707,206.6719,206.6721,208.6753,[],,,208.6756,217.8891,left,[],[],[],[],[],[],[],217.8894,217.8904,,,[],[],[],[],[],[],[],217.8905,217.8905,0,2,2,2,1,3,ILYEN_NAGY,stimuli/f00968.png,9.1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P9581,001,2,1,5,2026-08-03_16h44.15.995,untitled,2025.2.3,Win32,59.88023952,fixed_lists/stimlist5.csv,sequences/a19/a19_listB.csv,1.173968589,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8907,219.0742,219.0742,220.076,220.0762,222.0789,[],,,222.0792,228.9729,right,[],[],[],[],[],[],[],228.9731,231.8784,ló,ló,[],[],[],[],[],[],[],231.8785,231.8785,0,3,3,3,1,4,TUD_ÜL,stimuli/f00238.png,6.8609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
